sku	virtual	downloadable	rating_count	average_rating	total_sales	tax_status	tax_class	post_author	post_date	post_date_gmt	post_content	post_title	post_excerpt	post_status	comment_status	ping_status	post_password	post_name	post_modified	post_modified_gmt	post_content_filtered	post_parent	guid	menu_order	post_type	post_mime_type	comment_count
bon-cadeau-25-euros	0	0	0	0	10	taxable		1	2018-06-01 13:53:46	2018-06-01 11:53:46		Bon cadeau de 25Õ	"<span style=""color: #a85253;""><strong>Parlons peu, parlons vin.</strong>
<strong>Parlons cadeau !</strong></span>

Un bon cadeau … offrir … vos proches... sans mod‚ration !"	publish	closed	closed		bon-cadeau-de-25-euros	2018-06-01 14:13:57	2018-06-01 12:13:57		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4954	0	product		0
15298	0	0	0	0	6	taxable		2	2018-02-08 12:58:52	2018-02-08 11:58:52		Pierre Jean Villa Saint-Joseph Pr‚face 2018	Il exhale un nez subtil, rac‚ avec du poivre fin et de la tourbe. La bouche est une caresse grƒce … des tanins ‚l‚gants. De la haute couture.	publish	closed	closed		pierre-jean-villa-saint-joseph-preface-2018	2019-12-30 09:30:29	2019-12-30 08:30:29		0	https://www.wine-spirit.fr/?post_type=product&#038;p=3847	0	product		0
15296	0	0	0	0	0	taxable		2	2018-02-08 13:49:41	2018-02-08 12:49:41		Pierre Jean Villa Saint-Joseph Rouge Tild‚ 2017	Les vieilles vignes lui apportent une rare profondeur. L'attaque affiche de l'‚l‚gance. La bouche est port‚e par un min‚ral saisissant et des tanins de belle qualit‚. Grande bouteille !	publish	closed	closed		pierre-jean-villa-saint-joseph-tilde-2017	2019-12-21 09:00:17	2019-12-21 08:00:17		0	https://www.wine-spirit.fr/?post_type=product&#038;p=3849	0	product		0
15300	0	0	0	0	0	taxable		2	2018-02-08 14:08:36	2018-02-08 13:08:36		Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018	Dentelle de fruit de jeunes syrah, aux tanins l‚gers et ‚pic‚s. Hyper digeste. Un d‚lice.	publish	closed	closed		pierre-jean-villa-croze-hermitage-accroche-coeur-2018	2020-06-26 18:15:03	2020-06-26 16:15:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=3850	0	product		0
19814	0	0	0	0	3	taxable		2	2018-02-09 14:01:05	2018-02-09 13:01:05		Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018	Gamine repr‚sente tout le fruit‚ et la gourmandise de la syrah. Une touche ‚pic‚e et des tanins fondus lui apportent une belle complexit‚.	publish	closed	closed		pierre-jean-villa-igp-gamine-2018	2020-01-04 16:36:01	2020-01-04 15:36:01		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4032	0	product		0
19815	0	0	0	0	0	taxable		2	2018-02-12 09:04:37	2018-02-12 08:04:37		Pierre Jean Villa C“te R“tie Carmina 2017	Le c“te r“tie Carmina monte en puissance mais garde un milieu de bouche pulpeux aux tanins aboutis. En r‚f‚rence … Carmina Burana, ce C“te R“tie associe puissance, puret‚, complexit‚ et sensualit‚.	publish	closed	closed		pierre-jean-villa-cote-rotie-carmina-2017	2020-01-04 16:36:10	2020-01-04 15:36:10		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4039	0	product		0
15303	0	0	0	0	0	taxable		2	2018-02-12 09:13:35	2018-02-12 08:13:35		Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018	Roussanne finement exotique, atypique par sa vivacit‚, d'un grain frais et plein de croquant.	publish	closed	closed		pierre-jean-villa-saint-joseph-saut-ange-2018	2019-11-02 13:25:07	2019-11-02 12:25:07		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4040	0	product		0
14975	0	0	0	0	0	taxable		2	2018-02-12 09:45:14	2018-02-12 08:45:14		Pierre Gaillard Condrieu 2018	Un joli nez de fruits exotiques comme le litchi, deÿpˆche blancheÿet de violette. La bouche est ronde, ‚quilibr‚e et promet desÿsaveurs exotiquesÿaussi ‚l‚gantes qu'au nez.	publish	closed	closed		pierre-gaillard-condrieu-2018	2020-08-14 18:15:02	2020-08-14 16:15:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4041	0	product		0
16042	0	0	0	0	7	taxable		2	2018-02-12 09:54:27	2018-02-12 08:54:27		Pierre Gaillard Cornas 2017	Une jolie robe grenat avec des reflets violac‚s. Unÿ nez de petits fruits noirs et de notes ‚pic‚es. Belle structure, tanins aboutis et beaucoup de finesse.	publish	closed	closed		pierre-gaillard-cornas-2017	2020-08-14 10:15:02	2020-08-14 08:15:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4042	0	product		0
14980	0	0	0	0	3	taxable		2	2018-02-12 10:03:05	2018-02-12 09:03:05		Pierre Gaillard C“te R“tie Esprit de Blonde 2017	Complexit‚, finesse et subtilit‚ sont au rendez-vous. Concentration et longueur ‚galement! Une cuv‚e … garder quelques ann‚es.	publish	closed	closed		pierre-gaillard-cote-rotie-esprit-blond-2017	2020-08-24 14:00:03	2020-08-24 12:00:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4043	0	product		0
